Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C7","100n","C_0603_1608Metric",45.900000,-106.775000,-90.000000,bottom
"C9","100n","C_0603_1608Metric",48.500000,-106.800000,-90.000000,bottom
"C10","100n","C_0603_1608Metric",50.700000,-106.800000,-90.000000,bottom
"C11","100n","C_0603_1608Metric",53.300000,-106.800000,-90.000000,bottom
"C12","10u","C_0603_1608Metric",155.200000,-71.300000,180.000000,bottom
"C13","10u","C_0603_1608Metric",164.400000,-65.800000,180.000000,bottom
"C14","10u","C_0603_1608Metric",164.400000,-68.500000,180.000000,bottom
"C15","10u","C_0603_1608Metric",169.200000,-78.700000,0.000000,bottom
"C16","10u","C_0603_1608Metric",169.200000,-71.400000,0.000000,bottom
"C17","10u","C_0603_1608Metric",169.200000,-73.500000,0.000000,bottom
"C18","10u","C_0603_1608Metric",169.200000,-76.500000,0.000000,bottom
"C19","10u","C_0603_1608Metric",159.600000,-65.800000,0.000000,bottom
"C20","10u","C_0603_1608Metric",159.600000,-68.500000,0.000000,bottom
"C21","10u","C_0603_1608Metric",159.600000,-83.700000,180.000000,bottom
"C22","10u","C_0603_1608Metric",164.400000,-83.732410,180.000000,bottom
"C23","10u","C_0603_1608Metric",159.600000,-86.500000,180.000000,bottom
"C24","10u","C_0603_1608Metric",164.400000,-86.500000,180.000000,bottom
"C25","10u","C_0603_1608Metric",155.200000,-75.000000,180.000000,bottom
"C26","10u","C_0603_1608Metric",155.200000,-76.900000,180.000000,bottom
"C27","10u","C_0603_1608Metric",155.200000,-78.700000,180.000000,bottom
"C28","10u","C_0603_1608Metric",153.500000,-73.200000,0.000000,bottom
"C29","10u","C_0603_1608Metric",173.100000,-78.700000,0.000000,bottom
"C30","10u","C_0603_1608Metric",151.100000,-75.000000,180.000000,bottom
"C31","10u","C_0603_1608Metric",151.100000,-76.900000,180.000000,bottom
"C32","10u","C_0603_1608Metric",173.100000,-71.400000,0.000000,bottom
"C33","10u","C_0603_1608Metric",173.100000,-73.500000,0.000000,bottom
"C34","10u","C_0603_1608Metric",151.100000,-78.700000,180.000000,bottom
"C35","10u","C_0603_1608Metric",173.100000,-76.500000,0.000000,bottom
"C36","100n","C_0603_1608Metric",179.000000,-106.500000,90.000000,bottom
"J17","FMC LPC terminal","SAMTEC_ASP-134604-01",55.406410,-75.080010,-90.000000,bottom
"R1","49.9Ω","R_0603_1608Metric",151.200000,-70.900000,180.000000,bottom
"R3","0Ω","R_0603_1608Metric",95.000000,-76.575000,-90.000000,bottom
"R4","0Ω","R_0603_1608Metric",97.750000,-77.825000,-90.000000,bottom
"R5","0Ω","R_0603_1608Metric",100.250000,-82.325000,-90.000000,bottom
"R6","0Ω","R_0603_1608Metric",102.750000,-83.325000,-90.000000,bottom
